Time,Open,High,Low,Close,Volume,
2022-01-07 08:00:00, 41689.66, 42815, 41596.38, 42072.51, 1273.88928621,
2022-01-07 09:00:00, 42063.32, 42614.6, 42044.86, 42415.48, 543.75024463,
2022-01-07 10:00:00, 42412.07, 42500, 42161.66, 42162.88, 458.69064854,
2022-01-07 11:00:00, 42162.88, 42338.1, 42141.23, 42241.74, 326.31782975,
2022-01-07 12:00:00, 42241.74, 42490.14, 42241.74, 42397.71, 398.88247038,
2022-01-07 13:00:00, 42398.85, 42736.37, 41175.84, 41476.71, 1748.82830518,
2022-01-07 14:00:00, 41479.62, 42142.56, 41376.52, 41895.02, 1262.04922815,
2022-01-07 15:00:00, 41898.25, 41919.5, 40571.53, 41321.73, 2566.48562391,
2022-01-07 16:00:00, 41316.13, 42323.17, 40925.04, 42141.29, 1979.99718139,
2022-01-07 17:00:00, 42153.3, 42178.57, 41765.02, 41992.31, 1017.03828952,
2022-01-07 18:00:00, 41992.31, 42000, 41508.27, 41697.79, 706.93834023,
2022-01-07 19:00:00, 41693.38, 41888, 41507.83, 41771.8, 805.75557166,
2022-01-07 20:00:00, 41771.9, 42049.43, 41591.28, 41912.19, 928.00409821,
2022-01-07 21:00:00, 41912.19, 42020, 41850.04, 41877.12, 612.46835986,
2022-01-07 22:00:00, 41876.02, 41880.01, 41360.99, 41535.69, 680.47688666,
2022-01-07 23:00:00, 41535.65, 41591.46, 41333, 41565.18, 558.85959231,
2022-01-08 00:00:00, 41564.57, 42106.02, 41552.2, 41993, 603.90600714,
2022-01-08 01:00:00, 41992.15, 42237.12, 41847.38, 41887.63, 517.81160665,
2022-01-08 02:00:00, 41889.41, 41944.53, 41695, 41878.93, 314.84061164,
2022-01-08 03:00:00, 41878.93, 41910.82, 41650, 41807.56, 352.76415311,
2022-01-08 04:00:00, 41807.55, 41991.09, 41755.37, 41900.12, 356.42478531,
2022-01-08 05:00:00, 41899.95, 41995, 41835.76, 41977.37, 297.81952708,
2022-01-08 06:00:00, 41976.07, 41999.27, 41737.65, 41923.58, 275.43123636,
2022-01-08 07:00:00, 41923.58, 41976.37, 41843.86, 41907.74, 243.06847335,
2022-01-08 08:00:00, 41912.5, 42182.85, 41887.33, 41966.97, 368.79238149,
2022-01-08 09:00:00, 41962.92, 42160, 41951.89, 42158.3, 250.58906431,
2022-01-08 10:00:00, 42158.3, 42200, 41814.92, 41921.22, 302.1025271,
2022-01-08 11:00:00, 41921.66, 41978.82, 41768.6, 41947.32, 281.53922428,
2022-01-08 12:00:00, 41947.31, 42059.31, 41776.77, 41879.61, 271.94947691,
2022-01-08 13:00:00, 41878.15, 42029.44, 41631.79, 41906.37, 394.63518585,
2022-01-08 14:00:00, 41908.63, 42009.26, 41715.37, 41745.09, 352.61315854,
2022-01-08 15:00:00, 41749.7, 41808.56, 41445.44, 41613.86, 692.18399639,
2022-01-08 16:00:00, 41613.86, 41740.25, 41235.52, 41334.08, 924.88889888,
2022-01-08 17:00:00, 41344.22, 41407.97, 40789.36, 40840.9, 1398.2424191,
2022-01-08 18:00:00, 40842.35, 41310.64, 40569, 40678.22, 1649.99556854,
2022-01-08 19:00:00, 40673.81, 41083.11, 40505.3, 40825.96, 1167.4152991,
2022-01-08 20:00:00, 40821.62, 41175.87, 40707.77, 40969.36, 869.78064124,
2022-01-08 21:00:00, 40981.74, 42064.27, 40928.58, 41785.88, 2026.05267959,
2022-01-08 22:00:00, 41782.6, 42318.97, 41749.92, 41925.68, 982.06826805,
2022-01-08 23:00:00, 41925.68, 41960.33, 41662.98, 41684.84, 559.1979613,
2022-01-09 00:00:00, 41684.84, 41830.98, 41387.44, 41777.52, 786.44939796,
2022-01-09 01:00:00, 41772.23, 41944.22, 41601.53, 41810.07, 425.56035641,
2022-01-09 02:00:00, 41820.09, 42190.15, 41783.29, 42119.23, 546.7343829,
2022-01-09 03:00:00, 42119.24, 42119.24, 41799.69, 41846.66, 308.48164059,
2022-01-09 04:00:00, 41846.65, 42112.53, 41816.83, 42084.1, 227.06483417,
2022-01-09 05:00:00, 42084.21, 42098.57, 41711.41, 41770.5, 280.02427253,
2022-01-09 06:00:00, 41769.53, 41957.09, 41675.39, 41878.37, 199.59927631,
2022-01-09 07:00:00, 41878.37, 41910.92, 41781.45, 41797.24, 126.60157915,
2022-01-09 08:00:00, 41797.24, 41940, 41617.86, 41664.28, 212.74511139,
2022-01-09 09:00:00, 41666.11, 41766.82, 41473.68, 41510.59, 239.75096681,
2022-01-09 10:00:00, 41510.6, 41727.43, 41407.4, 41646.04, 226.02457549,
2022-01-09 11:00:00, 41646.03, 41986.25, 41646.03, 41867.68, 401.93284206,
2022-01-09 12:00:00, 41865.63, 41931.64, 41683.61, 41756.93, 271.38999471,
2022-01-09 13:00:00, 41760.86, 41901.06, 41466.66, 41466.67, 421.97604414,
2022-01-09 14:00:00, 41466.66, 41742.5, 41466.66, 41541.48, 385.43152756,
2022-01-09 15:00:00, 41542.5, 41683.66, 41209.53, 41622.98, 572.69469673,
2022-01-09 16:00:00, 41622.98, 42154.99, 41571.28, 42154.98, 546.54996011,
2022-01-09 17:00:00, 42154.99, 42221.15, 41893.31, 42104.91, 620.86468616,
2022-01-09 18:00:00, 42104.91, 42288.5, 41918.07, 41982.84, 692.24181965,
2022-01-09 19:00:00, 41982.85, 42766.33, 41949.77, 42706.11, 1060.27423088,
2022-01-09 20:00:00, 42712.03, 42831.12, 42381.43, 42447.46, 708.01333734,
2022-01-09 21:00:00, 42447.46, 42554.2, 42300, 42311.28, 496.94865471,
2022-01-09 22:00:00, 42311.21, 42500, 42100.24, 42218.6, 538.19935842,
2022-01-09 23:00:00, 42218.59, 42292.16, 41775, 41876.52, 778.67143549,
2022-01-10 00:00:00, 41876.52, 42040.84, 41625, 41655.56, 802.79768231,
2022-01-10 01:00:00, 41655.56, 41850.51, 41600, 41823.24, 404.83776953,
2022-01-10 02:00:00, 41823.25, 42010.82, 41726.85, 41942.11, 387.63110672,
2022-01-10 03:00:00, 41943.81, 42001.38, 41873.63, 41977.45, 381.22579848,
2022-01-10 04:00:00, 41979.61, 42250, 41938.74, 42202.9, 444.10998123,
2022-01-10 05:00:00, 42205.16, 42236.16, 41964.74, 42030.31, 350.76523905,
2022-01-10 06:00:00, 42032.18, 42051.3, 41835.51, 41929.58, 338.12359517,
2022-01-10 07:00:00, 41926.27, 42161.38, 41908.43, 42053.05, 287.41122697,
2022-01-10 08:00:00, 42056.35, 42120.57, 41724.28, 41826.43, 403.05547239,
2022-01-10 09:00:00, 41817.06, 41938.53, 41720.64, 41813.38, 253.04306366,
2022-01-10 10:00:00, 41814.2, 41994.32, 41760.7, 41793.2, 351.93750516,
2022-01-10 11:00:00, 41793.2, 41807.01, 41435.77, 41554.45, 739.67487506,
2022-01-10 12:00:00, 41557.35, 41608.3, 40900, 40945.48, 1191.69789687,
2022-01-10 13:00:00, 40940.95, 41064.88, 40722.1, 40774.99, 1379.95052568,
2022-01-10 14:00:00, 40774.99, 41273.85, 39650, 40797.31, 5412.06045874,
2022-01-10 15:00:00, 40792.29, 41218.01, 40565.1, 40988, 2120.54073705,
2022-01-10 16:00:00, 40988, 41998.97, 40857.23, 41921.09, 2322.73771593,
2022-01-10 17:00:00, 41921.08, 42122.42, 40559.39, 41206.18, 2522.5418183,
2022-01-10 18:00:00, 41206.1, 41750, 41129.85, 41624.39, 1185.74042619,
2022-01-10 19:00:00, 41624.34, 41724.32, 41235.05, 41295.1, 1062.53413219,
2022-01-10 20:00:00, 41295.1, 41780, 41169.07, 41680, 926.70667874,
2022-01-10 21:00:00, 41714.45, 41992.58, 41586.66, 41733.32, 871.88337729,
2022-01-10 22:00:00, 41732.87, 41865.54, 41527.69, 41620.35, 484.41489608,
2022-01-10 23:00:00, 41620.35, 41900.93, 41506.55, 41824.07, 606.93541704,
2022-01-11 00:00:00, 41824.06, 41891.9, 41606.87, 41612.83, 419.2644145,
2022-01-11 01:00:00, 41612.83, 42078.88, 41559.18, 41929.28, 848.39561885,
2022-01-11 02:00:00, 41929.29, 42397.02, 41824.52, 42184.67, 840.12979029,
2022-01-11 03:00:00, 42188.83, 42298.33, 42068.41, 42297.29, 442.79861538,
2022-01-11 04:00:00, 42295.73, 42377.48, 42145.8, 42315, 488.76960231,
2022-01-11 05:00:00, 42322.94, 42330.9, 42017.4, 42120.64, 602.41490303,
2022-01-11 06:00:00, 42120.64, 42237.61, 41987.61, 42117.9, 370.77767522,
2022-01-11 07:00:00, 42123.49, 42294.05, 42090.54, 42219.43, 421.17621588,
2022-01-11 08:00:00, 42219.41, 42620, 41944.31, 41999.14, 856.55211038,
2022-01-11 09:00:00, 41999.15, 42157.55, 41850.01, 41997.48, 405.12797544,
2022-01-11 10:00:00, 41997.48, 42077.44, 41591.6, 41633.59, 616.7878879,
2022-01-11 11:00:00, 41633.6, 41950.87, 41598.18, 41829.71, 816.37899373,
2022-01-11 12:00:00, 41827.68, 41969.87, 41730.88, 41830.86, 473.13703251,
2022-01-11 13:00:00, 41829.32, 41906.93, 41591.78, 41708.68, 543.16048397,
2022-01-11 14:00:00, 41706.85, 41827.47, 41274.8, 41642.87, 1211.915681,
2022-01-11 15:00:00, 41642.87, 42186, 41454.11, 41743.78, 1565.28402787,
2022-01-11 16:00:00, 41743.78, 43000, 41691.3, 42723.86, 2220.60024925,
2022-01-11 17:00:00, 42730.59, 43127.87, 42333.33, 42567.11, 2157.74398063,
2022-01-11 18:00:00, 42567.11, 42947.01, 42383.28, 42775.05, 1008.96543573,
2022-01-11 19:00:00, 42775.05, 43102.14, 42624.99, 43008.27, 996.77414863,
2022-01-11 20:00:00, 43008.27, 43130, 42714.54, 42818.55, 943.42162838,
2022-01-11 21:00:00, 42818.79, 42839.51, 42619.53, 42686.11, 725.64698038,
2022-01-11 22:00:00, 42686.11, 42786.7, 42624.44, 42730.36, 337.96935773,
2022-01-11 23:00:00, 42730.36, 42909, 42656.17, 42753.44, 384.27332356,
2022-01-12 00:00:00, 42749.84, 42984.77, 42600, 42705.3, 604.8259023,
2022-01-12 01:00:00, 42706.94, 42794.2, 42590.11, 42650.54, 375.66585022,
2022-01-12 02:00:00, 42652.13, 42729.53, 42459.21, 42581.69, 399.20974686,
2022-01-12 03:00:00, 42581.7, 42678.62, 42513.71, 42618.57, 286.63851019,
2022-01-12 04:00:00, 42618.57, 42746.42, 42540.5, 42648.85, 233.64901938,
2022-01-12 05:00:00, 42647.37, 42785.92, 42571.73, 42724.16, 214.01212808,
2022-01-12 06:00:00, 42729.08, 42879.34, 42618.52, 42698.33, 435.89869722,
2022-01-12 07:00:00, 42692.02, 42693.06, 42481.81, 42577.36, 256.66393849,
2022-01-12 08:00:00, 42573.55, 42726.36, 42523.48, 42618.51, 212.04565462,
